Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	avghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	avghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
8XM8	9	32	1	x				20	2	8	2	8	1		1		4						x	x	x	x	x	x	x	x	x	1		1			1		2		2					x									avg		x	x	x	x	x	x	x	x	x	x	13500	9700	10	2000	3000	10	1000	2000	10	1	17	3000			1	8	2	8
			2	x				20	1	8	2	8	2		1		4						x	x	x	x	x	x	x	x	x	1		1			1		2		2					x									avg		x	x	x	x	x	x	x	x	x	x	13500	9700	10	2000	3000	10	1000	2000	10	1	18	3000			1	8	2	8
			3	x				20	1	8	2	8	3		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	500	3000	9	2	23	3000			1	8	2	8
			4	x				20	1	8	2	8	4		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	500	3000	9	2	24	3000			1	8	2	8
			5	x				20	1	8	2	8	5		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	500	3000	9	3	27	3000			1	8	2	8
			6	x				20	1	8	2	8	6		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	500	3000	9	3	28	3000			1	8	2	8
			7	x				20	1	8	2	8	7		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	500	3000	9	4	29	3000			1	8	2	8
			8	x				20	1	8	2	8	8		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	500	3000	9	4	30	3000			1	8	2	8
			9					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1	1	1					2	2	2					x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	1000	2000	9	5	35	3000			1	8	2	8
			10					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1		1	1				2		2	2				x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	1000	2000	9	5	36	3000			1	8	2	8
			11					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1		1		1			2		2		2			x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	1000	2000	9	5.9	37	3000			1	8	2	8
			12					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1		1			1		2		2			2		x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	1000	2000	9	6.3	38	3000			1	8	2	8
			13					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1	1	1					2	2	2					x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	1000	2000	9	6.7	41	3000			1	8	2	8
			14					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1		1	1				2		2	2				x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	1000	2000	9	7.1	42	3000			1	8	2	8
			15					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1		1		1			2		2		2			x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	1000	2000	9	7.5	47	3000			1	8	2	8
			16					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1		1			1		2		2			2		x									avg		x	x	x	x	x	x	x	x	x	x	16000	12000	5	3000	6000	9	1000	2000	9	7.9	48	3000			1	8	2	8
			17					20	1	8	2	8																					1							2							x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	9	19	6000			1	8	2	8
			18					20	1	8	2	8																							1							2					x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	9	20	6000			1	8	2	8
